subject,activity,sensor,component,domain,var,aggregation_type,value
9,STANDING,Accelerometer,Body,Time,Y,mean,-0.0209466555412396
10,LAYING,Accelerometer,Body,Time,Y,mean,-0.0170332984576263
10,STANDING,Accelerometer,Body,Time,Y,mean,-0.0194909304979167
11,WALKING_UPSTAIRS,Accelerometer,Body,Time,Y,mean,-0.0191272531933228
12,LAYING,Accelerometer,Body,Time,Y,mean,-0.018337204411489
13,LAYING,Accelerometer,Body,Time,Y,mean,-0.0176504796070948
14,WALKING_UPSTAIRS,Accelerometer,Body,Time,Y,mean,-0.0162548178510526
15,WALKING_UPSTAIRS,Accelerometer,Body,Time,Y,mean,-0.016464484771311
16,WALKING_UPSTAIRS,Accelerometer,Body,Time,Y,mean,-0.0158567888309016
17,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Y,mean,-0.0175178488555457
17,WALKING_UPSTAIRS,Accelerometer,Body,Time,Y,mean,-0.0178192998868966
18,LAYING,Accelerometer,Body,Time,Y,mean,-0.0172831546595266
19,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Y,mean,-0.0182031515710306
20,LAYING,Accelerometer,Body,Time,Y,mean,-0.0175912993773164
21,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Y,mean,-0.0176664578561765
22,SITTING,Accelerometer,Body,Time,Y,mean,-0.0316561370181818
22,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Y,mean,-0.0157362798544615
23,SITTING,Accelerometer,Body,Time,Y,mean,-0.019589258786828
24,LAYING,Accelerometer,Body,Time,Y,mean,-0.0176822460103885
25,SITTING,Accelerometer,Body,Time,Y,mean,-0.0193221769314914
26,SITTING,Accelerometer,Body,Time,Y,mean,-0.0161687277463495
27,SITTING,Accelerometer,Body,Time,Y,mean,-0.0167969215592152
28,SITTING,Accelerometer,Body,Time,Y,mean,-0.0187975204834951
28,STANDING,Accelerometer,Body,Time,Y,mean,-0.0196106242455114
29,STANDING,Accelerometer,Body,Time,Y,mean,-0.018471953048314
30,STANDING,Accelerometer,Body,Time,Y,mean,-0.0175856077340209
1,WALKING,Accelerometer,Body,Time,Z,mean,-0.10784573454611
2,STANDING,Accelerometer,Body,Time,Z,mean,-0.115649958175497
3,WALKING,Accelerometer,Body,Time,Z,mean,-0.106492632429097
4,STANDING,Accelerometer,Body,Time,Z,mean,-0.107521430810726
5,WALKING,Accelerometer,Body,Time,Z,mean,-0.105661736816887
6,WALKING,Accelerometer,Body,Time,Z,mean,-0.11599454136
7,WALKING,Accelerometer,Body,Time,Z,mean,-0.112492375388312
8,WALKING,Accelerometer,Body,Time,Z,mean,-0.109006309141414
8,WALKING_UPSTAIRS,Accelerometer,Body,Time,Z,mean,-0.105614723352747
9,STANDING,Accelerometer,Body,Time,Z,mean,-0.101233826213889
10,LAYING,Accelerometer,Body,Time,Z,mean,-0.110873504487879
10,STANDING,Accelerometer,Body,Time,Z,mean,-0.1121843393125
11,WALKING_UPSTAIRS,Accelerometer,Body,Time,Z,mean,-0.108941761642405
12,LAYING,Accelerometer,Body,Time,Z,mean,-0.106649116775
13,LAYING,Accelerometer,Body,Time,Z,mean,-0.109135285550765
14,WALKING_UPSTAIRS,Accelerometer,Body,Time,Z,mean,-0.100985935692074
15,WALKING_UPSTAIRS,Accelerometer,Body,Time,Z,mean,-0.112563587594512
16,WALKING_UPSTAIRS,Accelerometer,Body,Time,Z,mean,-0.107263924445355
17,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Z,mean,-0.10894543593472
17,WALKING_UPSTAIRS,Accelerometer,Body,Time,Z,mean,-0.112173902413793
18,LAYING,Accelerometer,Body,Time,Z,mean,-0.108112251068681
19,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Z,mean,-0.118277180099383
20,LAYING,Accelerometer,Body,Time,Z,mean,-0.108029145824294
21,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Z,mean,-0.10877848058848
22,SITTING,Accelerometer,Body,Time,Z,mean,-0.105664296590909
22,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Z,mean,-0.108891559940803
23,SITTING,Accelerometer,Body,Time,Z,mean,-0.109093982385242
24,LAYING,Accelerometer,Body,Time,Z,mean,-0.107914503687664
25,SITTING,Accelerometer,Body,Time,Z,mean,-0.10962903098044
26,SITTING,Accelerometer,Body,Time,Z,mean,-0.107637894928571
27,SITTING,Accelerometer,Body,Time,Z,mean,-0.110848300413564
28,SITTING,Accelerometer,Body,Time,Z,mean,-0.107807008381068
28,STANDING,Accelerometer,Body,Time,Z,mean,-0.111939260223295
29,STANDING,Accelerometer,Body,Time,Z,mean,-0.108675612269477
30,STANDING,Accelerometer,Body,Time,Z,mean,-0.10589355727859
1,WALKING,Accelerometer,Body,Time,X,std,-0.545795331328326
2,STANDING,Accelerometer,Body,Time,X,std,-0.605586497159271
3,WALKING,Accelerometer,Body,Time,X,std,-0.623413602046921
4,STANDING,Accelerometer,Body,Time,X,std,-0.605211727785489
5,WALKING,Accelerometer,Body,Time,X,std,-0.507691011391722
6,WALKING,Accelerometer,Body,Time,X,std,-0.505086085072062
7,WALKING,Accelerometer,Body,Time,X,std,-0.577518324748052
8,WALKING,Accelerometer,Body,Time,X,std,-0.74865488820202
8,WALKING_UPSTAIRS,Accelerometer,Body,Time,X,std,-0.492827508658791
9,STANDING,Accelerometer,Body,Time,X,std,-0.555656544538194
10,LAYING,Accelerometer,Body,Time,X,std,-0.391986316171717
10,STANDING,Accelerometer,Body,Time,X,std,-0.838564338333333
11,WALKING_UPSTAIRS,Accelerometer,Body,Time,X,std,-0.58947649779557
12,LAYING,Accelerometer,Body,Time,X,std,-0.583962207065
13,LAYING,Accelerometer,Body,Time,X,std,-0.624844460199083
14,WALKING_UPSTAIRS,Accelerometer,Body,Time,X,std,-0.611671118216099
15,WALKING_UPSTAIRS,Accelerometer,Body,Time,X,std,-0.556541173089329
16,WALKING_UPSTAIRS,Accelerometer,Body,Time,X,std,-0.668161498298634
17,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,X,std,-0.575384465440796
17,WALKING_UPSTAIRS,Accelerometer,Body,Time,X,std,-0.99504124
18,LAYING,Accelerometer,Body,Time,X,std,-0.694616884972527
19,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,X,std,-0.574658922919194
20,LAYING,Accelerometer,Body,Time,X,std,-0.60484669490339
21,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,X,std,-0.672323867377451
22,SITTING,Accelerometer,Body,Time,X,std,0.0764832471304546
22,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,X,std,-0.591898038755853
23,SITTING,Accelerometer,Body,Time,X,std,-0.622594039757258
24,LAYING,Accelerometer,Body,Time,X,std,-0.675459176298425
25,SITTING,Accelerometer,Body,Time,X,std,-0.716264537547677
26,SITTING,Accelerometer,Body,Time,X,std,-0.623101031168367
27,SITTING,Accelerometer,Body,Time,X,std,-0.660976085218085
28,SITTING,Accelerometer,Body,Time,X,std,-0.68398972178932
28,STANDING,Accelerometer,Body,Time,X,std,-0.608133788585227
29,STANDING,Accelerometer,Body,Time,X,std,-0.574295395364826
30,STANDING,Accelerometer,Body,Time,X,std,-0.615890785389034
1,WALKING,Accelerometer,Body,Time,Y,std,-0.367716218227378
2,STANDING,Accelerometer,Body,Time,Y,std,-0.428962986589404
3,WALKING,Accelerometer,Body,Time,Y,std,-0.480015920697654
4,STANDING,Accelerometer,Body,Time,Y,std,-0.509929384011325
5,WALKING,Accelerometer,Body,Time,Y,std,-0.402724906078146
6,WALKING,Accelerometer,Body,Time,Y,std,-0.368403670137262
7,WALKING,Accelerometer,Body,Time,Y,std,-0.546403365345779
8,WALKING,Accelerometer,Body,Time,Y,std,-0.563450610434343
8,WALKING_UPSTAIRS,Accelerometer,Body,Time,Y,std,-0.232940759736264
9,STANDING,Accelerometer,Body,Time,Y,std,-0.5758878952125
10,LAYING,Accelerometer,Body,Time,Y,std,-0.385673788492929
10,STANDING,Accelerometer,Body,Time,Y,std,-0.727853336020833
11,WALKING_UPSTAIRS,Accelerometer,Body,Time,Y,std,-0.490379346996835
12,LAYING,Accelerometer,Body,Time,Y,std,-0.522040023435
13,LAYING,Accelerometer,Body,Time,Y,std,-0.448816097853364
14,WALKING_UPSTAIRS,Accelerometer,Body,Time,Y,std,-0.374730765205077
15,WALKING_UPSTAIRS,Accelerometer,Body,Time,Y,std,-0.481679537956006
16,WALKING_UPSTAIRS,Accelerometer,Body,Time,Y,std,-0.649947067892896
17,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Y,std,-0.531725560539469
17,WALKING_UPSTAIRS,Accelerometer,Body,Time,Y,std,-0.979413535862069
18,LAYING,Accelerometer,Body,Time,Y,std,-0.627117507326923
19,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Y,std,-0.507035084992639
20,LAYING,Accelerometer,Body,Time,Y,std,-0.369336706508757
21,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Y,std,-0.565585190336299
22,SITTING,Accelerometer,Body,Time,Y,std,0.219952845181818
22,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Y,std,-0.543513202065318
23,SITTING,Accelerometer,Body,Time,Y,std,-0.532078546615699
24,LAYING,Accelerometer,Body,Time,Y,std,-0.582490655185302
25,SITTING,Accelerometer,Body,Time,Y,std,-0.531421035602689
26,SITTING,Accelerometer,Body,Time,Y,std,-0.585967142418112
27,SITTING,Accelerometer,Body,Time,Y,std,-0.630460488658511
28,SITTING,Accelerometer,Body,Time,Y,std,-0.606549833999029
28,STANDING,Accelerometer,Body,Time,Y,std,-0.535146354788636
29,STANDING,Accelerometer,Body,Time,Y,std,-0.598400275636657
30,STANDING,Accelerometer,Body,Time,Y,std,-0.519047387875457
1,WALKING,Accelerometer,Body,Time,Z,std,-0.502645746562824
2,STANDING,Accelerometer,Body,Time,Z,std,-0.589360062210596
3,WALKING,Accelerometer,Body,Time,Z,std,-0.653625579293255
4,STANDING,Accelerometer,Body,Time,Z,std,-0.709492735962145
5,WALKING,Accelerometer,Body,Time,Z,std,-0.646443640175497
6,WALKING,Accelerometer,Body,Time,Z,std,-0.672512004586708
7,WALKING,Accelerometer,Body,Time,Z,std,-0.456473642256981
8,WALKING,Accelerometer,Body,Time,Z,std,-0.764554510484848
8,WALKING_UPSTAIRS,Accelerometer,Body,Time,Z,std,-0.355279828382418
9,STANDING,Accelerometer,Body,Time,Z,std,-0.506111776081806
10,LAYING,Accelerometer,Body,Time,Z,std,-0.498647004568434
10,STANDING,Accelerometer,Body,Time,Z,std,-0.854294969270833
11,WALKING_UPSTAIRS,Accelerometer,Body,Time,Z,std,-0.665324314227848
12,LAYING,Accelerometer,Body,Time,Z,std,-0.699293531365625
13,LAYING,Accelerometer,Body,Time,Z,std,-0.587230562129052
14,WALKING_UPSTAIRS,Accelerometer,Body,Time,Z,std,-0.29354271467452
15,WALKING_UPSTAIRS,Accelerometer,Body,Time,Z,std,-0.705706623868902
16,WALKING_UPSTAIRS,Accelerometer,Body,Time,Z,std,-0.603819902386066
17,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Z,std,-0.633174442559882
17,WALKING_UPSTAIRS,Accelerometer,Body,Time,Z,std,-0.980976484137931
18,LAYING,Accelerometer,Body,Time,Z,std,-0.701596039615385
19,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Z,std,-0.649184726556944
20,LAYING,Accelerometer,Body,Time,Z,std,-0.634787346548023
21,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Z,std,-0.669621813176471
22,SITTING,Accelerometer,Body,Time,Z,std,-0.0935184360181818
22,WALKING_DOWNSTAIRS,Accelerometer,Body,Time,Z,std,-0.696409302003679
23,SITTING,Accelerometer,Body,Time,Z,std,-0.450557203409946
24,LAYING,Accelerometer,Body,Time,Z,std,-0.636497458900262
25,SITTING,Accelerometer,Body,Time,Z,std,-0.64709556105868
26,SITTING,Accelerometer,Body,Time,Z,std,-0.70498062744898
27,SITTING,Accelerometer,Body,Time,Z,std,-0.68321532587766
28,SITTING,Accelerometer,Body,Time,Z,std,-0.70744912
28,STANDING,Accelerometer,Body,Time,Z,std,-0.660507169431818
29,STANDING,Accelerometer,Body,Time,Z,std,-0.606461283926453
30,STANDING,Accelerometer,Body,Time,Z,std,-0.522643273772115
1,WALKING,Accelerometer,Gravity,Time,X,mean,0.744867411573487
2,STANDING,Accelerometer,Gravity,Time,X,mean,0.660782866688742
3,WALKING,Accelerometer,Gravity,Time,X,mean,0.707814353343108
4,STANDING,Accelerometer,Gravity,Time,X,mean,0.706593043123028
5,WALKING,Accelerometer,Gravity,Time,X,mean,0.698153719072848
6,WALKING,Accelerometer,Gravity,Time,X,mean,0.688702063569231
7,WALKING,Accelerometer,Gravity,Time,X,mean,0.681289120844156
8,WALKING,Accelerometer,Gravity,Time,X,mean,0.601782571919192
8,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,X,mean,0.672365454230769
9,STANDING,Accelerometer,Gravity,Time,X,mean,0.670845545555556
10,LAYING,Accelerometer,Gravity,Time,X,mean,0.740684960252525
10,STANDING,Accelerometer,Gravity,Time,X,mean,0.441236068541667
11,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,X,mean,0.730526184936709
12,LAYING,Accelerometer,Gravity,Time,X,mean,0.69922245131875
13,LAYING,Accelerometer,Gravity,Time,X,mean,0.709996516908257
14,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,X,mean,0.672081224882353
15,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,X,mean,0.688872511512195
16,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,X,mean,0.700906130308743
17,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,X,mean,0.681018816489676
17,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,X,mean,0.908399606896552
18,LAYING,Accelerometer,Gravity,Time,X,mean,0.716863248351648
19,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,X,mean,0.475323016
20,LAYING,Accelerometer,Gravity,Time,X,mean,0.628040637177966
21,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,X,mean,0.645775957808824
22,SITTING,Accelerometer,Gravity,Time,X,mean,0.870172199545455
22,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,X,mean,0.590202951371237
23,SITTING,Accelerometer,Gravity,Time,X,mean,0.662324737580645
24,LAYING,Accelerometer,Gravity,Time,X,mean,0.69498126808399
25,SITTING,Accelerometer,Gravity,Time,X,mean,0.672386622127139
26,SITTING,Accelerometer,Gravity,Time,X,mean,0.615123534668367
27,SITTING,Accelerometer,Gravity,Time,X,mean,0.627230079867021
28,SITTING,Accelerometer,Gravity,Time,X,mean,0.647073359805825
28,STANDING,Accelerometer,Gravity,Time,X,mean,0.596489908068182
29,STANDING,Accelerometer,Gravity,Time,X,mean,0.683067625610465
30,STANDING,Accelerometer,Gravity,Time,X,mean,0.696858200678851
1,WALKING,Accelerometer,Gravity,Time,Y,mean,-0.0825562579855908
2,STANDING,Accelerometer,Gravity,Time,Y,mean,-0.147219886910411
3,WALKING,Accelerometer,Gravity,Time,Y,mean,-0.0260590480328739
4,STANDING,Accelerometer,Gravity,Time,Y,mean,0.112591195496986
5,WALKING,Accelerometer,Gravity,Time,Y,mean,0.112313109736755
6,WALKING,Accelerometer,Gravity,Time,Y,mean,0.0162055455953846
7,WALKING,Accelerometer,Gravity,Time,Y,mean,-0.0420221452496753
8,WALKING,Accelerometer,Gravity,Time,Y,mean,0.187298246666667
8,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Y,mean,-0.0550675502272528
9,STANDING,Accelerometer,Gravity,Time,Y,mean,-0.0467446999509028
10,LAYING,Accelerometer,Gravity,Time,Y,mean,-0.207161356161616
10,STANDING,Accelerometer,Gravity,Time,Y,mean,0.2005691803125
11,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Y,mean,0.0527387028613924
12,LAYING,Accelerometer,Gravity,Time,Y,mean,0.029976775735
13,LAYING,Accelerometer,Gravity,Time,Y,mean,-0.0420858101162079
14,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Y,mean,-0.111701388781115
15,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Y,mean,0.102660491875
16,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Y,mean,-0.0605235993797814
17,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,Y,mean,0.00208485938053097
17,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Y,mean,-0.198659870344828
18,LAYING,Accelerometer,Gravity,Time,Y,mean,-0.01578199625
19,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,Y,mean,0.0964052626666667
20,LAYING,Accelerometer,Gravity,Time,Y,mean,-0.0373059475847458
21,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,Y,mean,-0.0750963071446078
22,SITTING,Accelerometer,Gravity,Time,Y,mean,-0.350769156818182
22,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,Y,mean,0.059637422
23,SITTING,Accelerometer,Gravity,Time,Y,mean,0.0146209197354839
24,LAYING,Accelerometer,Gravity,Time,Y,mean,0.0729509702152231
25,SITTING,Accelerometer,Gravity,Time,Y,mean,0.0471601427530562
26,SITTING,Accelerometer,Gravity,Time,Y,mean,0.10870478277551
27,SITTING,Accelerometer,Gravity,Time,Y,mean,0.032242387143617
28,SITTING,Accelerometer,Gravity,Time,Y,mean,-0.137379481334951
28,STANDING,Accelerometer,Gravity,Time,Y,mean,-0.159514371232955
29,STANDING,Accelerometer,Gravity,Time,Y,mean,0.115489757911628
30,STANDING,Accelerometer,Gravity,Time,Y,mean,0.0512698188974987
1,WALKING,Accelerometer,Gravity,Time,Z,mean,0.072339870389049
2,STANDING,Accelerometer,Gravity,Time,Z,mean,0.134865335090728
3,WALKING,Accelerometer,Gravity,Time,Z,mean,0.0480937904190616
4,STANDING,Accelerometer,Gravity,Time,Z,mean,0.164130896618297
5,WALKING,Accelerometer,Gravity,Time,Z,mean,0.0921607197449904
6,WALKING,Accelerometer,Gravity,Time,Z,mean,0.0475199990906462
7,WALKING,Accelerometer,Gravity,Time,Z,mean,0.0342160711928604
8,WALKING,Accelerometer,Gravity,Time,Z,mean,0.177007409196192
8,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Z,mean,0.0328742204443956
9,STANDING,Accelerometer,Gravity,Time,Z,mean,0.104353653032743
10,LAYING,Accelerometer,Gravity,Time,Z,mean,0.108410428305944
10,STANDING,Accelerometer,Gravity,Time,Z,mean,-0.05453204484375
11,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Z,mean,0.140209861246835
12,LAYING,Accelerometer,Gravity,Time,Z,mean,0.0330295544910625
13,LAYING,Accelerometer,Gravity,Time,Z,mean,0.0443010536786239
14,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Z,mean,-0.161179728291022
15,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Z,mean,0.0372897701757012
16,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Z,mean,0.0402075536234973
17,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,Z,mean,0.00457967780088496
17,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Z,mean,-0.278195591724138
18,LAYING,Accelerometer,Gravity,Time,Z,mean,0.0899901746593407
19,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,Z,mean,0.233011401195083
20,LAYING,Accelerometer,Gravity,Time,Z,mean,0.10723075947935
21,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,Z,mean,0.0321851774362745
22,SITTING,Accelerometer,Gravity,Time,Z,mean,-0.1765357405
22,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,Z,mean,0.266233413475819
23,SITTING,Accelerometer,Gravity,Time,Z,mean,0.0518662466372043
24,LAYING,Accelerometer,Gravity,Time,Z,mean,0.0623227714146982
25,SITTING,Accelerometer,Gravity,Time,Z,mean,0.239226040930391
26,SITTING,Accelerometer,Gravity,Time,Z,mean,0.234107010472449
27,SITTING,Accelerometer,Gravity,Time,Z,mean,0.14116869604876
28,SITTING,Accelerometer,Gravity,Time,Z,mean,-0.00797649700048543
28,STANDING,Accelerometer,Gravity,Time,Z,mean,-0.0926602648977273
29,STANDING,Accelerometer,Gravity,Time,Z,mean,0.208215370043721
30,STANDING,Accelerometer,Gravity,Time,Z,mean,0.184343178348037
1,WALKING,Accelerometer,Gravity,Time,X,std,-0.959859435936599
2,STANDING,Accelerometer,Gravity,Time,X,std,-0.963015508245033
3,WALKING,Accelerometer,Gravity,Time,X,std,-0.966457565630499
4,STANDING,Accelerometer,Gravity,Time,X,std,-0.962636979274448
5,WALKING,Accelerometer,Gravity,Time,X,std,-0.964629108807947
6,WALKING,Accelerometer,Gravity,Time,X,std,-0.958898709015385
7,WALKING,Accelerometer,Gravity,Time,X,std,-0.956538178587662
8,WALKING,Accelerometer,Gravity,Time,X,std,-0.974751332424242
8,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,X,std,-0.943108468384615
9,STANDING,Accelerometer,Gravity,Time,X,std,-0.958784666180556
10,LAYING,Accelerometer,Gravity,Time,X,std,-0.964710125
10,STANDING,Accelerometer,Gravity,Time,X,std,-0.968072754375
11,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,X,std,-0.975394457689873
12,LAYING,Accelerometer,Gravity,Time,X,std,-0.96738343446875
13,LAYING,Accelerometer,Gravity,Time,X,std,-0.967268063455658
14,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,X,std,-0.941245714736842
15,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,X,std,-0.968733398628049
16,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,X,std,-0.971156432131148
17,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,X,std,-0.969925765014749
17,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,X,std,-0.993349445862069
18,LAYING,Accelerometer,Gravity,Time,X,std,-0.980138675796703
19,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,X,std,-0.958290447861111
20,LAYING,Accelerometer,Gravity,Time,X,std,-0.958201862627119
21,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,X,std,-0.965586634460784
22,SITTING,Accelerometer,Gravity,Time,X,std,-0.939673766818182
22,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,X,std,-0.959890000367893
23,SITTING,Accelerometer,Gravity,Time,X,std,-0.964393040295699
24,LAYING,Accelerometer,Gravity,Time,X,std,-0.975329699658793
25,SITTING,Accelerometer,Gravity,Time,X,std,-0.950017091344743
26,SITTING,Accelerometer,Gravity,Time,X,std,-0.96781789994898
27,SITTING,Accelerometer,Gravity,Time,X,std,-0.974620173404255
28,SITTING,Accelerometer,Gravity,Time,X,std,-0.974479128592233
28,STANDING,Accelerometer,Gravity,Time,X,std,-0.973164266079545
29,STANDING,Accelerometer,Gravity,Time,X,std,-0.973282885843023
30,STANDING,Accelerometer,Gravity,Time,X,std,-0.974319118563969
1,WALKING,Accelerometer,Gravity,Time,Y,std,-0.951150627458213
2,STANDING,Accelerometer,Gravity,Time,Y,std,-0.960033560165563
3,WALKING,Accelerometer,Gravity,Time,Y,std,-0.9445645371261
4,STANDING,Accelerometer,Gravity,Time,Y,std,-0.941416800167192
5,WALKING,Accelerometer,Gravity,Time,Y,std,-0.939973777950331
6,WALKING,Accelerometer,Gravity,Time,Y,std,-0.9509348864
7,WALKING,Accelerometer,Gravity,Time,Y,std,-0.955312554090909
8,WALKING,Accelerometer,Gravity,Time,Y,std,-0.955912054070707
8,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Y,std,-0.944385490274725
9,STANDING,Accelerometer,Gravity,Time,Y,std,-0.949938115208333
10,LAYING,Accelerometer,Gravity,Time,Y,std,-0.95504237949495
10,STANDING,Accelerometer,Gravity,Time,Y,std,-0.953455064479167
11,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Y,std,-0.957138770727848
12,LAYING,Accelerometer,Gravity,Time,Y,std,-0.9605729084375
13,LAYING,Accelerometer,Gravity,Time,Y,std,-0.953540716850153
14,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Y,std,-0.942377305312693
15,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Y,std,-0.956369493993902
16,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Y,std,-0.964727519945355
17,WALKING_DOWNSTAIRS,Accelerometer,Gravity,Time,Y,std,-0.956590055339233
17,WALKING_UPSTAIRS,Accelerometer,Gravity,Time,Y,std,-0.984760977241379
